date,index,division
2000-01-01,80.3,overall
2000-02-01,80.4,overall
2000-03-01,80.3,overall
2000-04-01,80.3,overall
2000-05-01,80.4,overall
2000-06-01,80.4,overall
2000-07-01,80.5,overall
2000-08-01,80.5,overall
2000-09-01,80.5,overall
2000-10-01,80.8,overall
2000-11-01,80.9,overall
2000-12-01,81.3,overall
2001-01-01,81.5,overall
2001-02-01,81.7,overall
2001-03-01,81.5,overall
2001-04-01,81.6,overall
2001-05-01,81.7,overall
2001-06-01,81.6,overall
2001-07-01,81.6,overall
2001-08-01,81.5,overall
2001-09-01,81.6,overall
2001-10-01,81.5,overall
2001-11-01,82.2,overall
2001-12-01,82.2,overall
2002-01-01,82.4,overall
2002-02-01,82.6,overall
2002-03-01,83.2,overall
2002-04-01,83.1,overall
2002-05-01,83.2,overall
2002-06-01,83.3,overall
2002-07-01,83.3,overall
2002-08-01,83.2,overall
2002-09-01,83.3,overall
2002-10-01,83.2,overall
2002-11-01,83.4,overall
2002-12-01,83.6,overall
2003-01-01,83.8,overall
2003-02-01,83.9,overall
2003-03-01,83.8,overall
2003-04-01,83.9,overall
2003-05-01,84.0,overall
2003-06-01,83.9,overall
2003-07-01,84.1,overall
2003-08-01,84.0,overall
2003-09-01,84.2,overall
2003-10-01,84.2,overall
2003-11-01,84.3,overall
2003-12-01,84.6,overall
2004-01-01,84.6,overall
2004-02-01,84.6,overall
2004-03-01,84.6,overall
2004-04-01,84.7,overall
2004-05-01,85.0,overall
2004-06-01,85.0,overall
2004-07-01,85.2,overall
2004-08-01,85.2,overall
2004-09-01,85.5,overall
2004-10-01,86.0,overall
2004-11-01,86.2,overall
2004-12-01,86.3,overall
2005-01-01,86.6,overall
2005-02-01,86.7,overall
2005-03-01,86.7,overall
2005-04-01,86.8,overall
2005-05-01,87.5,overall
2005-06-01,87.7,overall
2005-07-01,87.7,overall
2005-08-01,88.3,overall
2005-09-01,88.5,overall
2005-10-01,88.7,overall
2005-11-01,89.0,overall
2005-12-01,89.1,overall
2006-01-01,89.4,overall
2006-02-01,89.5,overall
2006-03-01,90.8,overall
2006-04-01,90.8,overall
2006-05-01,91.0,overall
2006-06-01,91.1,overall
2006-07-01,91.3,overall
2006-08-01,91.2,overall
2006-09-01,91.4,overall
2006-10-01,91.4,overall
2006-11-01,91.7,overall
2006-12-01,91.8,overall
2007-01-01,92.3,overall
2007-02-01,92.3,overall
2007-03-01,92.2,overall
2007-04-01,92.2,overall
2007-05-01,92.3,overall
2007-06-01,92.5,overall
2007-07-01,92.8,overall
2007-08-01,93.0,overall
2007-09-01,93.1,overall
2007-10-01,93.2,overall
2007-11-01,93.8,overall
2007-12-01,94.0,overall
2008-01-01,94.4,overall
2008-02-01,94.7,overall
2008-03-01,94.7,overall
2008-04-01,95.0,overall
2008-05-01,95.8,overall
2008-06-01,99.6,overall
2008-07-01,100.7,overall
2008-08-01,100.9,overall
2008-09-01,100.7,overall
2008-10-01,100.3,overall
2008-11-01,99.1,overall
2008-12-01,98.2,overall
2009-01-01,98.1,overall
2009-02-01,98.3,overall
2009-03-01,98.1,overall
2009-04-01,97.9,overall
2009-05-01,98.1,overall
2009-06-01,98.2,overall
2009-07-01,98.3,overall
2009-08-01,98.4,overall
2009-09-01,98.7,overall
2009-10-01,98.8,overall
2009-11-01,99.0,overall
2009-12-01,99.2,overall
2010-01-01,99.4,overall
2010-02-01,99.4,overall
2010-03-01,99.4,overall
2010-04-01,99.4,overall
2010-05-01,99.6,overall
2010-06-01,99.7,overall
2010-07-01,100.0,overall
2010-08-01,100.3,overall
2010-09-01,100.4,overall
2010-10-01,100.6,overall
2010-11-01,100.8,overall
